GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
state-machine,com.github.pnavais.machine.builder,StateMachineBuilder.FromBuilder,26,0,0,0,6,0,3,0,3,0
state-machine,com.github.pnavais.machine.builder,StateMachineBuilder.ToBuilder,34,0,0,0,8,0,3,0,3,0
state-machine,com.github.pnavais.machine.builder,StateMachineBuilder,56,0,0,0,12,0,8,0,8,0
state-machine,com.github.pnavais.machine.api.filter,MappedFunctionMessageFilter,142,0,18,0,30,0,20,0,11,0
state-machine,com.github.pnavais.machine.api.filter,MessageFilter.Status,24,0,0,0,1,0,1,0,1,0
state-machine,com.github.pnavais.machine.api.filter,FunctionMessageFilter,55,0,4,0,9,0,11,0,9,0
state-machine,com.github.pnavais.machine,StateMachine,74,40,0,0,17,10,10,7,10,7
state-machine,com.github.pnavais.machine.api.exception,NullStateException,4,0,0,0,2,0,1,0,1,0
state-machine,com.github.pnavais.machine.api.exception,NullTransitionException,4,0,0,0,2,0,1,0,1,0
state-machine,com.github.pnavais.machine.api.exception,IllegalTransitionException,4,0,0,0,2,0,1,0,1,0
state-machine,com.github.pnavais.machine.model,StringMessage,7,50,3,3,1,12,4,5,1,5
state-machine,com.github.pnavais.machine.model,StateTransition,58,21,12,0,7,8,8,4,2,4
state-machine,com.github.pnavais.machine.model,VoidMessage,6,0,0,0,3,0,3,0,3,0
state-machine,com.github.pnavais.machine.model,FilteredState,41,0,2,0,11,0,6,0,5,0
state-machine,com.github.pnavais.machine.model,AbstractState,2,4,0,0,1,2,1,1,1,1
state-machine,com.github.pnavais.machine.model,State,12,4,0,0,1,2,1,1,1,1
state-machine,com.github.pnavais.machine.model,VoidMessage.VoidMessageHolder,6,0,0,0,1,0,1,0,1,0
state-machine,com.github.pnavais.machine.index,StateTransitionMap,86,162,0,6,11,25,10,13,10,10
state-machine,com.github.pnavais.machine.api,Transition,15,10,3,3,3,4,3,1,0,1
state-machine,com.github.pnavais.machine.api,AbstractNode,29,42,4,4,2,10,6,4,2,4
state-machine,com.github.pnavais.machine.api,Message,3,0,0,0,1,0,1,0,1,0
